component,version,license,use,notes
starlette,0.47.3,UNKNOWN,,
statsmodels,0.14.5,UNKNOWN,,
stevedore,5.4.1,UNKNOWN,,
sympy,1.14.0,UNKNOWN,,
tenacity,9.1.2,UNKNOWN,,
threadpoolctl,3.6.0,UNKNOWN,,
tokenizers,0.21.2,UNKNOWN,,
toml,0.10.2,UNKNOWN,,
tomlkit,0.13.3,UNKNOWN,,
torch,2.8.0+cpu,UNKNOWN,,
tqdm,4.67.1,UNKNOWN,,
transformers,4.55.1,UNKNOWN,,
typer,0.16.0,UNKNOWN,,
typing-extensions,4.14.0,UNKNOWN,,
typing-inspection,0.4.1,UNKNOWN,,
tzdata,2025.2,UNKNOWN,,
ujson,5.10.0,UNKNOWN,,
urllib3,2.5.0,UNKNOWN,,
uvicorn,0.34.3,UNKNOWN,,
uvloop,0.21.0,UNKNOWN,,
vine,5.1.0,UNKNOWN,,
virtualenv,20.31.2,UNKNOWN,,
vulture,2.14,UNKNOWN,,
watchfiles,1.1.0,UNKNOWN,,
wcwidth,0.2.13,UNKNOWN,,
websocket-client,1.8.0,UNKNOWN,,
websockets,15.0.1,UNKNOWN,,
whatthepatch,1.0.7,UNKNOWN,,
xenon,0.9.3,UNKNOWN,,
xlsxwriter,3.2.9,UNKNOWN,,
yapf,0.43.0,UNKNOWN,,
zipp,3.23.0,UNKNOWN,,
